"Story","Title","Result","Date","Stability","Duration (s)"
"Create New Category","As a user I can create new category data with a valid path","SUCCESS","2023-11-03T19:14:29.950354+07:00[Asia/Jakarta]","0.0","0.18"
"Create New Category","As a user I can't create new category with an invalid path","SUCCESS","2023-11-03T19:14:30.136946+07:00[Asia/Jakarta]","0.0","0.2"
"Create New Category","As a user I can't create new category data if content field blank request","SUCCESS","2023-11-03T19:14:30.336952+07:00[Asia/Jakarta]","0.0","0.19"
"Delete Category By ID","As a user I can delete category by ID data with a valid path","SUCCESS","2023-11-03T19:14:30.53432+07:00[Asia/Jakarta]","0.0","0.2"
"Delete Category By ID","As a user I can't delete category by ID with an invalid path","SUCCESS","2023-11-03T19:14:30.737362+07:00[Asia/Jakarta]","0.0","0.2"
"Get All Categories","As a user I can get all categories data with a valid path","SUCCESS","2023-11-03T19:14:30.945144+07:00[Asia/Jakarta]","0.0","0.31"
"Get All Categories","As a user I can't get all categories with an invalid path","SUCCESS","2023-11-03T19:14:31.263773+07:00[Asia/Jakarta]","0.0","0.18"
"Get Category By ID","As a user I can get category by ID data with a valid path","SUCCESS","2023-11-03T19:14:31.447801+07:00[Asia/Jakarta]","0.0","0.22"
"Get Category By ID","As a user I cannot get category data with an invalid ID (by entering the ID numbers, letters & symbols at the same time)","SUCCESS","2023-11-03T19:14:31.675939+07:00[Asia/Jakarta]","0.0","0.21"
"Get Category By ID","As a user I can't get category data with an invalid ID (by entering an ID number that does not yet exist in the database)","SUCCESS","2023-11-03T19:14:31.887117+07:00[Asia/Jakarta]","0.0","0.16"
