"Story","Title","Result","Date","Stability","Duration (s)"
"Get User Information","As a user I can't get user information without path","SUCCESS","2023-11-03T19:14:22.254273+07:00[Asia/Jakarta]","0.0","0.44"
"Get User Information","As a user I can't get user information without token","SUCCESS","2023-11-03T19:14:22.716879+07:00[Asia/Jakarta]","0.0","0.19"
"Get User Information","As a user I can't get user information invalid token","SUCCESS","2023-11-03T19:14:22.917769+07:00[Asia/Jakarta]","0.0","0.22"
"Get User Information","As a user I can't get user information if setting authorization type other than ""Bearer Token""","SUCCESS","2023-11-03T19:14:23.141922+07:00[Asia/Jakarta]","0.0","0.43"
"Login User","As a user I can login with a valid credentials","SUCCESS","2023-11-03T19:14:23.578416+07:00[Asia/Jakarta]","0.0","0.4"
"Login User","As a user I can't login without path","SUCCESS","2023-11-03T19:14:23.985529+07:00[Asia/Jakarta]","0.0","0.17"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-11-03T19:14:24.164521+07:00[Asia/Jakarta]","0.0","0.18"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-11-03T19:14:24.352959+07:00[Asia/Jakarta]","0.0","0.2"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-11-03T19:14:24.557429+07:00[Asia/Jakarta]","0.0","0.22"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-11-03T19:14:24.780593+07:00[Asia/Jakarta]","0.0","0.4"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-11-03T19:14:25.18737+07:00[Asia/Jakarta]","0.0","0.39"
"Register User","As a new user I can register by filling a valid data","SUCCESS","2023-11-03T19:14:25.581307+07:00[Asia/Jakarta]","0.0","0.35"
"Register User","As a new user I can't register without path","SUCCESS","2023-11-03T19:14:25.947979+07:00[Asia/Jakarta]","0.0","0.23"
"Register User","As a new user I can't register if I don't fill in the register request","SUCCESS","2023-11-03T19:14:26.181669+07:00[Asia/Jakarta]","0.0","0.21"
"Register User","As a new user I can't register if I don't fill in the email request","SUCCESS","2023-11-03T19:14:26.397427+07:00[Asia/Jakarta]","0.0","0.18"
"Register User","As a new user I can't register if I don't fill in the password request","SUCCESS","2023-11-03T19:14:26.581584+07:00[Asia/Jakarta]","0.0","0.18"
"Register User","As a new user I can't register if I don't fill in the fullname request","SUCCESS","2023-11-03T19:14:26.770676+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if the email request format is not appropriate (e.g.","SUCCESS","2023-11-03T19:14:26.970933+07:00[Asia/Jakarta]","0.0","0.2"
