"Story","Title","Result","Date","Stability","Duration (s)"
"Get User Information","As a user I can't get user information without path","SUCCESS","2023-11-03T19:14:22.254273+07:00[Asia/Jakarta]","0.0","0.44"
"Get User Information","As a user I can't get user information without token","SUCCESS","2023-11-03T19:14:22.716879+07:00[Asia/Jakarta]","0.0","0.19"
"Get User Information","As a user I can't get user information invalid token","SUCCESS","2023-11-03T19:14:22.917769+07:00[Asia/Jakarta]","0.0","0.22"
"Get User Information","As a user I can't get user information if setting authorization type other than ""Bearer Token""","SUCCESS","2023-11-03T19:14:23.141922+07:00[Asia/Jakarta]","0.0","0.43"
"Login User","As a user I can login with a valid credentials","SUCCESS","2023-11-03T19:14:23.578416+07:00[Asia/Jakarta]","0.0","0.4"
"Login User","As a user I can't login without path","SUCCESS","2023-11-03T19:14:23.985529+07:00[Asia/Jakarta]","0.0","0.17"
"Login User","As a user I can't login if I don't fill in the login request","SUCCESS","2023-11-03T19:14:24.164521+07:00[Asia/Jakarta]","0.0","0.18"
"Login User","As a user I can't login if I don't fill in the email request","SUCCESS","2023-11-03T19:14:24.352959+07:00[Asia/Jakarta]","0.0","0.2"
"Login User","As a user I can't login if I don't fill in the password request","SUCCESS","2023-11-03T19:14:24.557429+07:00[Asia/Jakarta]","0.0","0.22"
"Login User","As a user I can't login with an invalid email","SUCCESS","2023-11-03T19:14:24.780593+07:00[Asia/Jakarta]","0.0","0.4"
"Login User","As a user I can't login with an invalid password","SUCCESS","2023-11-03T19:14:25.18737+07:00[Asia/Jakarta]","0.0","0.39"
"Register User","As a new user I can register by filling a valid data","SUCCESS","2023-11-03T19:14:25.581307+07:00[Asia/Jakarta]","0.0","0.35"
"Register User","As a new user I can't register without path","SUCCESS","2023-11-03T19:14:25.947979+07:00[Asia/Jakarta]","0.0","0.23"
"Register User","As a new user I can't register if I don't fill in the register request","SUCCESS","2023-11-03T19:14:26.181669+07:00[Asia/Jakarta]","0.0","0.21"
"Register User","As a new user I can't register if I don't fill in the email request","SUCCESS","2023-11-03T19:14:26.397427+07:00[Asia/Jakarta]","0.0","0.18"
"Register User","As a new user I can't register if I don't fill in the password request","SUCCESS","2023-11-03T19:14:26.581584+07:00[Asia/Jakarta]","0.0","0.18"
"Register User","As a new user I can't register if I don't fill in the fullname request","SUCCESS","2023-11-03T19:14:26.770676+07:00[Asia/Jakarta]","0.0","0.2"
"Register User","As a new user I can't register if the email request format is not appropriate (e.g.","SUCCESS","2023-11-03T19:14:26.970933+07:00[Asia/Jakarta]","0.0","0.2"
"Hello","As a user I can index data with a valid path and body request","SUCCESS","2023-11-03T19:14:27.181385+07:00[Asia/Jakarta]","0.0","0.16"
"Hello","As a user I can't index with an invalid path","SUCCESS","2023-11-03T19:14:27.347734+07:00[Asia/Jakarta]","0.0","0.16"
"Create New Order","As a user I can create new order data with a valid path and body request","SUCCESS","2023-11-03T19:14:27.517449+07:00[Asia/Jakarta]","0.0","0.29"
"Create New Order","As a user I can't create new order with an invalid path","SUCCESS","2023-11-03T19:14:27.80897+07:00[Asia/Jakarta]","0.0","0.19"
"Create New Order","As a user I can't create new order data if content field blank request","SUCCESS","2023-11-03T19:14:28.005376+07:00[Asia/Jakarta]","0.0","0.38"
"Get All Orders","As a user I can get all orders data with a valid path","SUCCESS","2023-11-03T19:14:28.395343+07:00[Asia/Jakarta]","0.0","0.39"
"Get All Orders","As a user I can't get all orders with an invalid path","SUCCESS","2023-11-03T19:14:28.789114+07:00[Asia/Jakarta]","0.0","0.23"
"Get Order By ID","As a user I can get order by ID data with a valid path","SUCCESS","2023-11-03T19:14:29.026816+07:00[Asia/Jakarta]","0.0","0.56"
"Get Order By ID","As a user I cannot get order data with an invalid ID (by entering the ID numbers, letters & symbols at the same time)","SUCCESS","2023-11-03T19:14:29.594246+07:00[Asia/Jakarta]","0.0","0.16"
"Get Order By ID","As a user I cannot get order data with an invalid ID (by entering an ID number that does not yet exist in the database)","SUCCESS","2023-11-03T19:14:29.764792+07:00[Asia/Jakarta]","0.0","0.18"
"Create New Category","As a user I can create new category data with a valid path","SUCCESS","2023-11-03T19:14:29.950354+07:00[Asia/Jakarta]","0.0","0.18"
"Create New Category","As a user I can't create new category with an invalid path","SUCCESS","2023-11-03T19:14:30.136946+07:00[Asia/Jakarta]","0.0","0.2"
"Create New Category","As a user I can't create new category data if content field blank request","SUCCESS","2023-11-03T19:14:30.336952+07:00[Asia/Jakarta]","0.0","0.19"
"Delete Category By ID","As a user I can delete category by ID data with a valid path","SUCCESS","2023-11-03T19:14:30.53432+07:00[Asia/Jakarta]","0.0","0.2"
"Delete Category By ID","As a user I can't delete category by ID with an invalid path","SUCCESS","2023-11-03T19:14:30.737362+07:00[Asia/Jakarta]","0.0","0.2"
"Get All Categories","As a user I can get all categories data with a valid path","SUCCESS","2023-11-03T19:14:30.945144+07:00[Asia/Jakarta]","0.0","0.31"
"Get All Categories","As a user I can't get all categories with an invalid path","SUCCESS","2023-11-03T19:14:31.263773+07:00[Asia/Jakarta]","0.0","0.18"
"Get Category By ID","As a user I can get category by ID data with a valid path","SUCCESS","2023-11-03T19:14:31.447801+07:00[Asia/Jakarta]","0.0","0.22"
"Get Category By ID","As a user I cannot get category data with an invalid ID (by entering the ID numbers, letters & symbols at the same time)","SUCCESS","2023-11-03T19:14:31.675939+07:00[Asia/Jakarta]","0.0","0.21"
"Get Category By ID","As a user I can't get category data with an invalid ID (by entering an ID number that does not yet exist in the database)","SUCCESS","2023-11-03T19:14:31.887117+07:00[Asia/Jakarta]","0.0","0.16"
"Assign Product Rating","As a user I can assign product rating data with a valid path and body request","SUCCESS","2023-11-03T19:14:32.051002+07:00[Asia/Jakarta]","0.0","0.4"
"Assign Product Rating","As a user I can't assign product ratings with an invalid path","SUCCESS","2023-11-03T19:14:32.463688+07:00[Asia/Jakarta]","0.0","0.19"
"Assign Product Rating","As a user I can't assign product ratings without path","SUCCESS","2023-11-03T19:14:32.661326+07:00[Asia/Jakarta]","0.0","0.2"
"Assign Product Rating","As a user I can't set product rating data with a request for the number of ratings exceeding > 5","SUCCESS","2023-11-03T19:14:32.869804+07:00[Asia/Jakarta]","0.0","0.42"
